year,sex,age_band,population
2049,Men,75-79,607000
2049,Men,80-84,390000
2049,Men,≥85,200000
2049,Women,0-4,641000
2049,Women,10-14,639000
2049,Women,15-19,689000
2049,Women,20-24,756000
2049,Women,25-29,800000
2049,Women,30-34,796000
2049,Women,35-39,763000
2049,Women,40-44,771000
2049,Women,45-49,853000
2049,Women,5-9,631000
2049,Women,50-54,923000
2049,Women,55-59,918000
2049,Women,60-64,836000
2049,Women,65-69,743000
2049,Women,70-74,661000
2049,Women,75-79,739000
2049,Women,80-84,532000
2049,Women,≥85,343000
2050,Men,0-4,678000
2050,Men,10-14,671000
2050,Men,15-19,715000
2050,Men,20-24,783000
2050,Men,25-29,836000
2050,Men,30-34,838000
2050,Men,35-39,801000
2050,Men,40-44,792000
2050,Men,45-49,850000
2050,Men,5-9,670000
2050,Men,50-54,925000
2050,Men,55-59,921000
2050,Men,60-64,828000
2050,Men,65-69,715000
2050,Men,70-74,579000
2050,Men,75-79,583000
2050,Men,80-84,406000
2050,Men,≥85,213000
2050,Women,0-4,641000
2050,Women,10-14,633000
2050,Women,15-19,675000
2050,Women,20-24,741000
2050,Women,25-29,794000
2050,Women,30-34,800000
2050,Women,35-39,769000
2050,Women,40-44,765000
2050,Women,45-49,829000
2050,Women,5-9,633000
2050,Women,50-54,912000
2050,Women,55-59,923000
2050,Women,60-64,847000
2050,Women,65-69,757000
2050,Women,70-74,647000
2050,Women,75-79,708000
2050,Women,80-84,553000
2050,Women,≥85,360000
2051,Men,0-4,677000
2051,Men,10-14,667000
2051,Men,15-19,701000
2051,Men,20-24,766000
2051,Men,25-29,828000
2051,Men,30-34,841000
2051,Men,35-39,808000
2051,Men,40-44,789000
2051,Men,45-49,828000
2051,Men,5-9,672000
2051,Men,50-54,910000
2051,Men,55-59,922000
2051,Men,60-64,840000
2051,Men,65-69,727000
2051,Men,70-74,580000
2051,Men,75-79,554000
2051,Men,80-84,418000
2051,Men,≥85,224000
2051,Women,0-4,639000
2051,Women,10-14,630000
2051,Women,15-19,663000
2051,Women,20-24,725000
2051,Women,25-29,786000
2051,Women,30-34,802000
2051,Women,35-39,775000
