year,age,sex,population
2029,81,Men,33600
2029,82,Men,33600
2029,83,Men,33600
2029,84,Men,33600
2029,85,Men,13600
2029,86,Men,13600
2029,87,Men,13600
2029,88,Men,13600
2029,89,Men,13600
2029,90,Men,3200
2029,91,Men,3200
2029,92,Men,3200
2029,93,Men,3200
2029,94,Men,3200
2029,95,Men,200
2029,96,Men,200
2029,97,Men,200
2029,98,Men,200
2029,99,Men,200
2030,0,Men,161200
2030,1,Men,161200
2030,2,Men,161200
2030,3,Men,161200
2030,4,Men,161200
2030,5,Men,173200
2030,6,Men,173200
2030,7,Men,173200
2030,8,Men,173200
2030,9,Men,173200
2030,10,Men,174000
2030,11,Men,174000
2030,12,Men,174000
2030,13,Men,174000
2030,14,Men,174000
2030,15,Men,166600
2030,16,Men,166600
2030,17,Men,166600
2030,18,Men,166600
2030,19,Men,166600
2030,20,Men,163800
2030,21,Men,163800
2030,22,Men,163800
2030,23,Men,163800
2030,24,Men,163800
2030,25,Men,176600
2030,26,Men,176600
2030,27,Men,176600
2030,28,Men,176600
2030,29,Men,176600
2030,30,Men,195600
2030,31,Men,195600
2030,32,Men,195600
2030,33,Men,195600
2030,34,Men,195600
2030,35,Men,199800
2030,36,Men,199800
2030,37,Men,199800
2030,38,Men,199800
2030,39,Men,199800
2030,40,Men,186400
2030,41,Men,186400
2030,42,Men,186400
2030,43,Men,186400
2030,44,Men,186400
2030,45,Men,172400
2030,46,Men,172400
2030,47,Men,172400
2030,48,Men,172400
2030,49,Men,172400
2030,50,Men,156600
2030,51,Men,156600
2030,52,Men,156600
2030,53,Men,156600
2030,54,Men,156600
2030,55,Men,194400
2030,56,Men,194400
2030,57,Men,194400
2030,58,Men,194400
2030,59,Men,194400
2030,60,Men,193000
2030,61,Men,193000
2030,62,Men,193000
2030,63,Men,193000
2030,64,Men,193000
2030,65,Men,138400
2030,66,Men,138400
2030,67,Men,138400
2030,68,Men,138400
2030,69,Men,138400
2030,70,Men,104800
2030,71,Men,104800
2030,72,Men,104800
2030,73,Men,104800
2030,74,Men,104800
2030,75,Men,50600
2030,76,Men,50600
2030,77,Men,50600
2030,78,Men,50600
2030,79,Men,50600
2030,80,Men,34200
2030,81,Men,34200
2030,82,Men,34200
2030,83,Men,34200
2030,84,Men,34200
2030,85,Men,14200
2030,86,Men,14200
2030,87,Men,14200
2030,88,Men,14200
2030,89,Men,14200
2030,90,Men,3400
2030,91,Men,3400
2030,92,Men,3400
2030,93,Men,3400
2030,94,Men,3400
2030,95,Men,400
2030,96,Men,400
2030,97,Men,400
2030,98,Men,400
2030,99,Men,400
2031,0,Men,157800
2031,1,Men,157800
2031,2,Men,157800
2031,3,Men,157800
2031,4,Men,157800
2031,5,Men,171600
2031,6,Men,171600
2031,7,Men,171600
2031,8,Men,171600
2031,9,Men,171600
2031,10,Men,174600
2031,11,Men,174600
2031,12,Men,174600
2031,13,Men,174600
2031,14,Men,174600
2031,15,Men,168200
2031,16,Men,168200
2031,17,Men,168200
2031,18,Men,168200
2031,19,Men,168200
2031,20,Men,163000
2031,21,Men,163000
2031,22,Men,163000
2031,23,Men,163000
2031,24,Men,163000
2031,25,Men,171800
2031,26,Men,171800
2031,27,Men,171800
2031,28,Men,171800
2031,29,Men,171800
2031,30,Men,192400
2031,31,Men,192400
2031,32,Men,192400
2031,33,Men,192400
2031,34,Men,192400
2031,35,Men,200000
2031,36,Men,200000
2031,37,Men,200000
2031,38,Men,200000
2031,39,Men,200000
2031,40,Men,189000
2031,41,Men,189000
2031,42,Men,189000
2031,43,Men,189000
2031,44,Men,189000
2031,45,Men,175000
2031,46,Men,175000
2031,47,Men,175000
2031,48,Men,175000
2031,49,Men,175000
2031,50,Men,156200
2031,51,Men,156200
2031,52,Men,156200
2031,53,Men,156200
2031,54,Men,156200
2031,55,Men,184000
2031,56,Men,184000
2031,57,Men,184000
2031,58,Men,184000
2031,59,Men,184000
2031,60,Men,197800
2031,61,Men,197800
2031,62,Men,197800
2031,63,Men,197800
2031,64,Men,197800
2031,65,Men,145200
2031,66,Men,145200
2031,67,Men,145200
2031,68,Men,145200
2031,69,Men,145200
2031,70,Men,108200
2031,71,Men,108200
2031,72,Men,108200
2031,73,Men,108200
2031,74,Men,108200
2031,75,Men,55000
2031,76,Men,55000
2031,77,Men,55000
2031,78,Men,55000
2031,79,Men,55000
2031,80,Men,33200
2031,81,Men,33200
2031,82,Men,33200
2031,83,Men,33200
2031,84,Men,33200
2031,85,Men,14800
2031,86,Men,14800
2031,87,Men,14800
2031,88,Men,14800
2031,89,Men,14800
2031,90,Men,3600
2031,91,Men,3600
2031,92,Men,3600
2031,93,Men,3600
2031,94,Men,3600
2031,95,Men,400
2031,96,Men,400
2031,97,Men,400
2031,98,Men,400
2031,99,Men,400
2032,0,Men,154400
2032,1,Men,154400
2032,2,Men,154400
2032,3,Men,154400
2032,4,Men,154400
2032,5,Men,169400
2032,6,Men,169400
2032,7,Men,169400
2032,8,Men,169400
2032,9,Men,169400
2032,10,Men,174800
2032,11,Men,174800
2032,12,Men,174800
2032,13,Men,174800
2032,14,Men,174800
2032,15,Men,169600
2032,16,Men,169600
2032,17,Men,169600
2032,18,Men,169600
2032,19,Men,169600
2032,20,Men,162400
2032,21,Men,162400
2032,22,Men,162400
2032,23,Men,162400
2032,24,Men,162400
2032,25,Men,168000
2032,26,Men,168000
2032,27,Men,168000
2032,28,Men,168000
2032,29,Men,168000
2032,30,Men,188800
2032,31,Men,188800
2032,32,Men,188800
2032,33,Men,188800
2032,34,Men,188800
2032,35,Men,199400
2032,36,Men,199400
2032,37,Men,199400
2032,38,Men,199400
2032,39,Men,199400
2032,40,Men,191800
2032,41,Men,191800
2032,42,Men,191800
2032,43,Men,191800
2032,44,Men,191800
2032,45,Men,177000
2032,46,Men,177000
2032,47,Men,177000
2032,48,Men,177000
2032,49,Men,177000
2032,50,Men,158600
2032,51,Men,158600
2032,52,Men,158600
2032,53,Men,158600
2032,54,Men,158600
2032,55,Men,171400
2032,56,Men,171400
2032,57,Men,171400
2032,58,Men,171400
2032,59,Men,171400
2032,60,Men,199600
2032,61,Men,199600
2032,62,Men,199600
2032,63,Men,199600
2032,64,Men,199600
2032,65,Men,154600
2032,66,Men,154600
